(0.000) BEGIN; args=None; alias=default
(0.000) SELECT "django_content_type"."id", "django_content_type"."app_label", "django_content_type"."model" FROM "django_content_type" WHERE ("django_content_type"."app_label" = 'admin' AND "django_content_type"."model" = 'logentry') LIMIT 21; args=('admin', 'logentry'); alias=default
(0.000) UPDATE "django_content_type" SET "app_label" = 'admin', "model" = 'logentry' WHERE "django_content_type"."id" = 1; args=('admin', 'logentry', 1); alias=default
(0.000) SELECT "django_content_type"."id", "django_content_type"."app_label", "django_content_type"."model" FROM "django_content_type" WHERE ("django_content_type"."app_label" = 'auth' AND "django_content_type"."model" = 'permission') LIMIT 21; args=('auth', 'permission'); alias=default
(0.000) UPDATE "django_content_type" SET "app_label" = 'auth', "model" = 'permission' WHERE "django_content_type"."id" = 2; args=('auth', 'permission', 2); alias=default
(0.000) SELECT "django_content_type"."id", "django_content_type"."app_label", "django_content_type"."model" FROM "django_content_type" WHERE ("django_content_type"."app_label" = 'auth' AND "django_content_type"."model" = 'group') LIMIT 21; args=('auth', 'group'); alias=default
(0.000) UPDATE "django_content_type" SET "app_label" = 'auth', "model" = 'group' WHERE "django_content_type"."id" = 3; args=('auth', 'group', 3); alias=default
(0.000) SELECT "django_content_type"."id", "django_content_type"."app_label", "django_content_type"."model" FROM "django_content_type" WHERE ("django_content_type"."app_label" = 'auth' AND "django_content_type"."model" = 'user') LIMIT 21; args=('auth', 'user'); alias=default
(0.000) UPDATE "django_content_type" SET "app_label" = 'auth', "model" = 'user' WHERE "django_content_type"."id" = 4; args=('auth', 'user', 4); alias=default
(0.000) SELECT "django_content_type"."id", "django_content_type"."app_label", "django_content_type"."model" FROM "django_content_type" WHERE ("django_content_type"."app_label" = 'contenttypes' AND "django_content_type"."model" = 'contenttype') LIMIT 21; args=('contenttypes', 'contenttype'); alias=default
(0.000) UPDATE "django_content_type" SET "app_label" = 'contenttypes', "model" = 'contenttype' WHERE "django_content_type"."id" = 5; args=('contenttypes', 'contenttype', 5); alias=default
(0.000) SELECT "django_content_type"."id", "django_content_type"."app_label", "django_content_type"."model" FROM "django_content_type" WHERE ("django_content_type"."app_label" = 'sessions' AND "django_content_type"."model" = 'session') LIMIT 21; args=('sessions', 'session'); alias=default
(0.000) UPDATE "django_content_type" SET "app_label" = 'sessions', "model" = 'session' WHERE "django_content_type"."id" = 6; args=('sessions', 'session', 6); alias=default
(0.000) SELECT "django_content_type"."id", "django_content_type"."app_label", "django_content_type"."model" FROM "django_content_type" WHERE ("django_content_type"."app_label" = 'monitoring' AND "django_content_type"."model" = 'project') LIMIT 21; args=('monitoring', 'project'); alias=default
(0.000) UPDATE "django_content_type" SET "app_label" = 'monitoring', "model" = 'project' WHERE "django_content_type"."id" = 7; args=('monitoring', 'project', 7); alias=default
(0.000) SELECT "django_content_type"."id", "django_content_type"."app_label", "django_content_type"."model" FROM "django_content_type" WHERE ("django_content_type"."app_label" = 'projeng' AND "django_content_type"."model" = 'layer') LIMIT 21; args=('projeng', 'layer'); alias=default
(0.000) UPDATE "django_content_type" SET "app_label" = 'projeng', "model" = 'layer' WHERE "django_content_type"."id" = 8; args=('projeng', 'layer', 8); alias=default
(0.000) SELECT "django_content_type"."id", "django_content_type"."app_label", "django_content_type"."model" FROM "django_content_type" WHERE ("django_content_type"."app_label" = 'projeng' AND "django_content_type"."model" = 'project') LIMIT 21; args=('projeng', 'project'); alias=default
(0.000) UPDATE "django_content_type" SET "app_label" = 'projeng', "model" = 'project' WHERE "django_content_type"."id" = 9; args=('projeng', 'project', 9); alias=default
(0.000) SELECT "django_content_type"."id", "django_content_type"."app_label", "django_content_type"."model" FROM "django_content_type" WHERE ("django_content_type"."app_label" = 'projeng' AND "django_content_type"."model" = 'projectcost') LIMIT 21; args=('projeng', 'projectcost'); alias=default
(0.000) UPDATE "django_content_type" SET "app_label" = 'projeng', "model" = 'projectcost' WHERE "django_content_type"."id" = 10; args=('projeng', 'projectcost', 10); alias=default
(0.000) SELECT "django_content_type"."id", "django_content_type"."app_label", "django_content_type"."model" FROM "django_content_type" WHERE ("django_content_type"."app_label" = 'projeng' AND "django_content_type"."model" = 'projectprogress') LIMIT 21; args=('projeng', 'projectprogress'); alias=default
(0.000) UPDATE "django_content_type" SET "app_label" = 'projeng', "model" = 'projectprogress' WHERE "django_content_type"."id" = 11; args=('projeng', 'projectprogress', 11); alias=default
(0.000) SELECT "django_content_type"."id", "django_content_type"."app_label", "django_content_type"."model" FROM "django_content_type" WHERE ("django_content_type"."app_label" = 'projeng' AND "django_content_type"."model" = 'progressphoto') LIMIT 21; args=('projeng', 'progressphoto'); alias=default
(0.000) UPDATE "django_content_type" SET "app_label" = 'projeng', "model" = 'progressphoto' WHERE "django_content_type"."id" = 12; args=('projeng', 'progressphoto', 12); alias=default
(0.000) SELECT "django_content_type"."id", "django_content_type"."app_label", "django_content_type"."model" FROM "django_content_type" WHERE ("django_content_type"."app_label" = 'projeng' AND "django_content_type"."model" = 'projectdocument') LIMIT 21; args=('projeng', 'projectdocument'); alias=default
(0.000) UPDATE "django_content_type" SET "app_label" = 'projeng', "model" = 'projectdocument' WHERE "django_content_type"."id" = 13; args=('projeng', 'projectdocument', 13); alias=default
